Position	CrossingPoint	SampleName	Primers	Template
A1	25.01516857	Dilution1	PI.2	1
A2	24.85291859	Dilution1	PI.2	1
A3	27.453005	Dilution2	PI.2	0.25
A4	27.2049041	Dilution2	PI.2	0.25
A5	29.42360744	Dilution3	PI.2	0.0625
A6	29.87152052	Dilution3	PI.2	0.0625
A7	31.47698279	Dilution4	PI.2	0.015625
A8	32.29999917	Dilution4	PI.2	0.015625
A9	32.1883396	Dilution5	PI.2	0.00390625
A10	31.9959091	Dilution5	PI.2	0.00390625
A11	32.692701	Dilution6	PI.2	0.000976563
A12	32.65466054	Dilution6	PI.2	0.000976563
B1	20.70022332	Dilution1	PI.1	1
B2	20.68998287	Dilution1	PI.1	1
B3	23.13515079	Dilution2	PI.1	0.25
B4	23.12917506	Dilution2	PI.1	0.25
B5	25.73526702	Dilution3	PI.1	0.0625
B6	25.75588363	Dilution3	PI.1	0.0625
B7	28.62501438	Dilution4	PI.1	0.015625
B8	28.51789301	Dilution4	PI.1	0.015625
B9	30.45326518	Dilution5	PI.1	0.00390625
B10	30.9091061	Dilution5	PI.1	0.00390625
B11	33.61656922	Dilution6	PI.1	0.000976563
B12	32.63182328	Dilution6	PI.1	0.000976563
C1	20.9330676	Dilution1	REF1	1
C2	20.85302059	Dilution1	REF1	1
C3	23.44457295	Dilution2	REF1	0.25
C4	23.52777782	Dilution2	REF1	0.25
C5	26.00893652	Dilution3	REF1	0.0625
C6	25.90561146	Dilution3	REF1	0.0625
C7	28.69206611	Dilution4	REF1	0.015625
C8	28.62830656	Dilution4	REF1	0.015625
C9	30.81472217	Dilution5	REF1	0.00390625
C10	30.61326745	Dilution5	REF1	0.00390625
C11	33.79207645	Dilution6	REF1	0.000976563
C12	31.94991729	Dilution6	REF1	0.000976563
